,state,event,time,orbital_period,eccentricity,rl_relative_overflow_1,rl_relative_overflow_2,lg_mtransfer_rate,mass_transfer_case,trap_radius,acc_radius,step_names,step_times,S1_state,S1_mass,S1_log_R,S1_log_L,S1_lg_mdot,S1_he_core_mass,S1_he_core_radius,S1_co_core_mass,S1_co_core_radius,S1_center_h1,S1_center_he4,S1_center_c12,S1_center_n14,S1_center_o16,S1_surface_h1,S1_surface_he4,S1_surface_c12,S1_surface_n14,S1_surface_o16,S1_log_LH,S1_log_LHe,S1_log_LZ,S1_log_Lnuc,S1_center_gamma,S1_avg_c_in_c_core,S1_surf_avg_omega,S1_surf_avg_omega_div_omega_crit,S1_total_moment_of_inertia,S1_log_total_angular_momentum,S1_spin,S1_envelope_binding_energy,S1_lambda_CE_1cent,S1_lambda_CE_10cent,S1_lambda_CE_30cent,S1_lambda_CE_pure_He_star_10cent,S2_state,S2_mass,S2_log_R,S2_log_L,S2_lg_mdot,S2_he_core_mass,S2_he_core_radius,S2_co_core_mass,S2_co_core_radius,S2_center_h1,S2_center_he4,S2_center_c12,S2_center_n14,S2_center_o16,S2_surface_h1,S2_surface_he4,S2_surface_c12,S2_surface_n14,S2_surface_o16,S2_log_LH,S2_log_LHe,S2_log_LZ,S2_log_Lnuc,S2_center_gamma,S2_avg_c_in_c_core,S2_surf_avg_omega,S2_surf_avg_omega_div_omega_crit,S2_total_moment_of_inertia,S2_log_total_angular_momentum,S2_spin,S2_envelope_binding_energy,S2_lambda_CE_1cent,S2_lambda_CE_10cent,S2_lambda_CE_30cent,S2_lambda_CE_pure_He_star_10cent
625,detached,END,100000000.0,0.0365391393556534,0.0,-1.0,-0.0094479859372517,-18.672520191212705,,3.6881064590107854e-06,1250000.0,step_end,2.9087066650390625e-05,NS,1.365365284086256,-4.7456867466967045,,-18.57114749225849,,,,,,,,,,,,,,,,,,,,,,,,,0.4027621047004972,,,,,,stripped_He_Core_He_burning,0.7988176991469547,-0.7034604782354251,2.318160460118739,-8.19399690967408,0.7988176991469547,0.198040667801271,0.3670214072480064,0.0419902467827153,0.0,0.0422928425577265,0.545712475411899,1.9516303678818986e-13,0.4060783074856831,2.870372497456267e-28,0.9857999652104842,0.0025117135018492,0.0007357523524705,0.0060883508770365,-12.44923513474994,1.482132656258523,2.215222287145855,2.308840834856347,0.5162420114455606,,0.0019903234997708,0.3355834704712007,1.554694729283842e+52,49.48933119776771,5.493148697151146,0.0,1e+99,1e+99,1e+99,1.0993641289675185
627,detached,END,100000000.0,0.0499498199342587,0.0,-1.0,-0.2385406990808681,-99.0,,0.0,1250000.0,step_end,2.9802322387695312e-05,NS,1.1960331691,-4.7456867466967045,,-98.69897000433602,,,,,,,,,,,,,,,,,,,,,,,,,3.922332662987351e-06,,,,,,stripped_He_Core_He_burning,1.0061366188868597,-0.686599805190464,2.4102344949895675,-8.783768941202085,1.0061366188868597,0.2057798994412606,0.0,0.0,0.0,0.9480459618939115,0.0399046040284744,0.000532411996557,0.0063623176345267,5.413049438089855e-51,0.9857999999999996,0.0025116795969408,0.0007357524978486,0.0060883500547338,-11.404780801507808,2.405798707297113,0.6138454786471119,2.4128535799798128,0.0838553977714994,,0.0013400953616284,0.2110993319154325,2.964412391646713e+52,49.58531404341227,4.458158045471436,0.0,1e+99,1e+99,1e+99,1.3581270410299335
742,detached,END,100000000.0,0.0192074520271697,0.0,-1.0,-0.8555818017088209,-99.0,,0.0,1250000.0,step_end,4.029273986816406e-05,NS,1.4472401497340508,-4.7456867466967045,,-98.69897000433602,,,,,,,,,,,,,,,,,,,,,,,,,0.5341798342067311,,,,,,stripped_He_Central_He_depleted,0.5885399784777448,-1.7775372259674704,0.6163046030209619,-11.103742545319683,0.5885399784777448,0.0167937711836757,0.555167555236654,0.0111992206872454,4.3754935341372695e-57,1.5418074026066143e-28,0.4620763219414394,8.896373671998884e-24,0.5320057680910011,7.682957063452424e-28,0.9856640261940256,0.0026393242114508,0.0007354113590347,0.0060965330417257,-25.01738114028461,-4.443232181118343,-1.7267923919108965,-1.7093432327923976,8.839760909159985,,0.0096163499597046,0.0436511802085148,1.9945183393254253e+50,48.278520548737866,0.6223403950956533,0.0,1e+99,1e+99,1e+99,1.9584929633382329
744,detached,END,100000000.0,0.0488735271327011,0.0,-1.0,-0.2156949025054021,-99.0,,6.632594529391417e-265,1250000.0,step_end,3.218650817871094e-05,NS,1.1960331691,-4.7456867466967045,,-98.69897000433602,,,,,,,,,,,,,,,,,,,,,,,,,3.922332662987351e-06,,,,,,stripped_He_Core_He_burning,1.004690206725092,-0.6802823341157178,2.4171008348847134,-8.765721552644944,1.004690206725092,0.208794772312349,0.0,0.0,0.0,0.8810467812248567,0.1053230522887374,0.0002711945997987,0.0078310993725191,4.137216155713216e-46,0.9857999999999998,0.0025116795969408,0.0007357524978486,0.0060883500547338,-10.550103682223911,2.407715800377655,0.8613911734843313,2.4199379849224947,0.0902348685468352,,0.0014858732428906,0.2396107485187597,2.994980470785395e+52,49.64839275714441,5.004927404015183,0.0,1e+99,1e+99,1e+99,1.343285443328787
923,RLO2,END,100000000.0,0.0342371349955445,0.0,-1.0,0.0051445101561136,-7.0607060578505765,case_BB1,2.18909296689644e-05,1250000.0,step_end,3.3855438232421875e-05,NS,1.3990720785129158,-4.7456867466967045,,-7.427656330388082,,,,,,,,,,,,,,,,,,,,,,,,,0.4602137458064229,,,,,,stripped_He_Central_He_depleted,0.6816468783716549,-0.7415252948972849,2.697785387501402,-7.039112490230335,0.6816468783716549,0.1814204307580421,0.3819651825667818,0.0228578995407057,0.0,7.790745757464028e-23,0.4620763219414405,8.89324525514983e-24,0.5320057680909983,8.707511065193966e-27,0.9857831072988048,0.0025276782287181,0.0007357049008639,0.0060892237252232,-19.675229972711637,2.4969814182538017,2.2328819854335418,2.685963219957644,1.34500755950239,,0.0010564390485403,0.1725437082804747,5.1521973143795736e+51,48.72005506238209,1.2860125404642728,0.0,1e+99,1e+99,1e+99,0.6013562832038204
1079,RLO2,END,100000000.0,0.0390928022865636,0.0,-1.0,0.0026568478962634,-7.74239313966847,case_BA1,4.951352421233222e-06,1250000.0,step_end,3.0040740966796875e-05,NS,1.316817486740092,-4.7456867466967045,,-7.74239313966847,,,,,,,,,,,,,,,,,,,,,,,,,0.3008449698375709,,,,,,stripped_He_Core_He_burning,0.8580455836022122,-0.6665249880722602,2.36101135552254,-7.704926089750697,0.8580455836022122,0.2156434776328396,0.0,0.0,0.0,0.1742965676082068,0.6029795753716605,3.0484192056173605e-10,0.2168083283294423,7.102465512348827e-29,0.985799997737118,0.0025116818135505,0.0007357524875833,0.0060883500966072,-10.731855252917471,2.0597702128402564,2.0082367434934087,2.3602802135951344,0.3389290263341465,,0.0018485043128991,0.342357279794909,2.1308368974262201e+52,49.5887198215963,6.004869476462686,0.0,1e+99,1e+99,1e+99,1.144076413530563
1128,RLO2,END,100000000.0,0.0370242781018576,0.0,-1.0,0.0030071917858298,-7.66185998403863,case_BA1,5.260246172696943e-06,1250000.0,step_end,2.7418136596679688e-05,NS,1.3578752966932937,-4.7456867466967045,,-7.66185998403863,,,,,,,,,,,,,,,,,,,,,,,,,0.3890462066767527,,,,,,stripped_He_Core_He_burning,0.8128944555199792,-0.6911866655753199,2.3242333494858407,-7.634392917071588,0.8128944555199792,0.2036199207122582,0.3442741815129219,0.0417567896041665,0.0,0.0621105224170962,0.5869319676416981,3.6750996648087674e-10,0.3450415763436587,1.842225724795285e-28,0.985799988872014,0.0025116904725834,0.000735752449254,0.0060883502862506,-13.28861940049479,1.8353002269503789,2.2277154841475832,2.375829298449927,0.4643301781616311,,0.0019496157792941,0.3401941294488065,1.6995966157494306e+52,49.52022764491024,5.691473639860151,0.0,1e+99,1e+99,1e+99,1.1115100428944984
1163,RLO2,END,100000000.0,0.0326240878852878,0.0,-1.0,0.0042523714509322,-7.3822101012979155,case_BB1,1.0252951720574898e-05,1250000.0,step_end,3.075599670410156e-05,NS,1.4330303778165578,-4.7456867466967045,,-7.427656330388082,,,,,,,,,,,,,,,,,,,,,,,,,0.51340822532164,,,,,,stripped_He_Central_He_depleted,0.6173938901224577,-0.7714632008246646,2.8137171277938413,-7.326782675922194,0.6173938901224577,0.1692846423105208,0.4334578437289311,0.0214495892966396,0.0,9.662947974137166e-23,0.4620763219414395,8.89590270254811e-24,0.5320057680910008,3.1153012487033676e-26,0.9857284636433304,0.0025791334644799,0.0007355628830316,0.006092351279352,-20.767663515148627,2.631388431083329,2.3024081143519752,2.7984432064711893,1.659229842100485,,0.0014569773403607,0.2315831794386835,2.7438332724213854e+51,48.59350976561455,1.1693132015754375,0.0,1e+99,1e+99,1e+99,0.4727123949479276
1177,RLO2,END,100000000.0,0.0391507627678697,0.0,-1.0,0.0026887786579733,-7.724062012556662,case_BA1,5.180454844991441e-06,1250000.0,step_end,3.147125244140625e-05,NS,1.312824133917707,-4.7456867466967045,,-7.724062012556662,,,,,,,,,,,,,,,,,,,,,,,,,0.2919811103057243,,,,,,stripped_He_Core_He_burning,0.8623074725826643,-0.6652314744813713,2.365046334494408,-7.687523108453712,0.8623074725826643,0.2162935590264894,0.0,0.0,0.0,0.1832708405126483,0.6006752685713386,3.422490606809452e-10,0.2101383736850472,6.672358463014557e-29,0.9857999978741654,0.0025116816793055,0.000735752488205,0.0060883500940712,-10.771469168970055,2.0745316322199554,1.9973376295301248,2.364437125056968,0.331354108159253,,0.0018453528093639,0.3424983415695137,2.1641967790059908e+52,49.594425708313445,6.025535778609735,0.0,1e+99,1e+99,1e+99,1.1470169684298297
1193,RLO2,END,100000000.0,0.0326640401591476,0.0,-1.0,0.0055261780936614,-6.859381089187939,case_BB1,3.3395999781393675e-05,1250000.0,step_end,3.24249267578125e-05,NS,1.369146971667735,-4.7456867466967045,,-7.427656330388082,,,,,,,,,,,,,,,,,,,,,,,,,0.4094194668189245,,,,,,stripped_He_Central_He_depleted,0.7849125291114578,-0.7322740275013581,2.637400593637036,-6.848390447849222,0.7849125291114578,0.1852368397890512,0.3674880517990971,0.0265132036145031,0.0,1.3956049948482006e-22,0.4620763219415637,8.524120206776562e-24,0.5320057680906815,7.302094384034032e-28,0.985799348426892,0.0025123038010472,0.0007357503627412,0.0060883765086829,-18.760510837616923,2.4945028395742352,2.1004112277301856,2.64226751350792,1.0083466552578826,,0.0021697338895415,0.3409696068891702,8.68654306309905e+51,49.26140396004923,3.4935119478736887,0.0,1e+99,1e+99,1e+99,0.7835930574669134
